client.Client,@DistributedTags.CLIENT+@DistributedTags.RMI
server.ServerRemoteInterface,@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI
client.ClientConfigurer,@DistributedTags.CLIENT_CONFIGURER+@DistributedTags.RMI
client.ClientRemoteInterface,@DistributedTags.CLIENT_REMOTE_INTERFACE+@DistributedTags.RMI
registry.TrickOrTreatRegistry,@DistributedTags.REGISTRY+@DistributedTags.RMI
client.ClientRemoteObject,@DistributedTags.CLIENT_REMOTE_OBJECT+@DistributedTags.RMI
client.ClientOutCoupler,@DistributedTags.CLIENT_OUT_COUPLER+@DistributedTags.RMI
server.Server,@DistributedTags.SERVER+@DistributedTags.RMI
server.ServerRemoteObject,@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.RMI
server.ServerConfigurer,@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI
